,MatchNum,Country,Batsman,Dismissal-Info,R,M,B,4s,6s,SR
0,1,New Zealand,MJ Guptill,c †Sangakkara b Lakmal,49,94,62,5,0,79.03
1,1,New Zealand,BB McCullum*,c Mendis b Herath,65,68,49,10,1,132.65
2,1,New Zealand,KS Williamson,c Karunaratne b Mendis,57,70,65,5,1,87.69
3,1,New Zealand,LRPL Taylor,st †Sangakkara b Mendis,14,49,28,0,0,50.00
4,1,New Zealand,GD Elliott,c Thirimanne b Lakmal,29,53,34,2,0,85.29
5,1,New Zealand,CJ Anderson,c Lakmal b Kulasekara,75,77,46,8,2,163.04
6,1,New Zealand,L Ronchi†,not out,29,29,19,4,0,152.63
7,1,Sri Lanka,HDRL Thirimanne,b Boult,65,90,60,8,0,108.33
8,1,Sri Lanka,TM Dilshan,c & b Vettori,24,50,41,2,0,58.53
9,1,Sri Lanka,KC Sangakkara†,lbw b Boult,39,48,38,5,0,102.63
10,1,Sri Lanka,DPMD Jayawardene,c †Ronchi b Vettori,0,3,4,0,0,0.00
11,1,Sri Lanka,FDM Karunaratne,b Milne,14,32,21,0,0,66.66
12,1,Sri Lanka,AD Mathews*,c Vettori b Southee,46,80,52,5,0,88.46
13,1,Sri Lanka,BMAJ Mendis,c †Ronchi b Milne,4,5,4,1,0,100.00
14,1,Sri Lanka,KMDN Kulasekara,c Elliott b Anderson,10,32,21,1,0,47.61
15,1,Sri Lanka,HMRKB Herath,c Milne b Anderson,13,41,19,2,0,68.42
16,1,Sri Lanka,SL Malinga,c †Ronchi b Southee,0,4,1,0,0,0.00
17,1,Sri Lanka,RAS Lakmal,not out,7,21,17,0,0,41.17
18,2,Australia,DA Warner,b Broad,22,34,18,3,0,122.22
19,2,Australia,AJ Finch,run out (Morgan),135,158,128,12,3,105.46
20,2,Australia,SR Watson,c †Buttler b Broad,0,1,1,0,0,0.00
21,2,Australia,SPD Smith,b Woakes,5,14,9,1,0,55.55
22,2,Australia,GJ Bailey*,b Finn,55,113,69,3,0,79.71
23,2,Australia,GJ Maxwell,c Root b Finn,66,63,40,11,0,165.00
24,2,Australia,MR Marsh,c Root b Finn,23,31,20,3,0,115.00
25,2,Australia,BJ Haddin†,c Broad b Finn,31,23,14,5,0,221.42
26,2,Australia,MG Johnson,c Anderson b Finn,0,3,1,0,0,0.00
27,2,Australia,MA Starc,not out,0,1,0,0,0,-
28,2,England,MM Ali,c Bailey b Starc,10,20,13,2,0,76.92
29,2,England,IR Bell,c Starc b Marsh,36,63,45,4,0,80.00
30,2,England,GS Ballance,c Finch b Marsh,10,23,13,2,0,76.92
