,MatchNum,Country,Bowler,O,M,R,W,Econ,0s,4s,6s,Extra
0,1,Sri Lanka,KMDN Kulasekara,8,0,78,1,9.75,16,9,2,(3w)
1,1,Sri Lanka,SL Malinga,10,0,84,0,8.40,19,8,1,"(3nb, 3w)"
2,1,Sri Lanka,AD Mathews,6,0,28,0,4.66,20,4,0,
3,1,Sri Lanka,HMRKB Herath,9,0,37,1,4.11,30,3,0,(1w)
4,1,Sri Lanka,TM Dilshan,5,0,35,0,7.00,11,2,1,(1w)
5,1,Sri Lanka,RAS Lakmal,10,0,62,2,6.20,28,8,0,
6,1,Sri Lanka,BMAJ Mendis,2,0,5,2,2.50,7,0,0,
7,1,New Zealand,TG Southee,10,1,43,2,4.30,37,5,0,(2w)
8,1,New Zealand,TA Boult,10,0,64,2,6.40,27,9,0,
9,1,New Zealand,AF Milne,10,0,56,2,5.60,30,6,0,"(1nb, 3w)"
10,1,New Zealand,DL Vettori,10,0,34,2,3.40,33,1,0,(2w)
11,1,New Zealand,GD Elliott,2,0,11,0,5.50,4,1,0,
12,1,New Zealand,KS Williamson,1,0,7,0,7.00,0,0,0,
13,1,New Zealand,CJ Anderson,3.1,0,18,2,5.68,10,2,0,(3w)
14,2,England,JM Anderson,10,0,67,0,6.70,31,8,1,(1w)
15,2,England,SCJ Broad,10,0,66,2,6.60,29,8,0,(1w)
16,2,England,CR Woakes,10,0,65,1,6.50,22,7,0,
17,2,England,ST Finn,10,0,71,5,7.10,28,8,0,(1w)
18,2,England,MM Ali,9,0,60,0,6.66,19,6,1,
19,2,England,JE Root,1,0,11,0,11.00,3,1,1,
20,2,Australia,MA Starc,9,1,47,2,5.22,34,6,1,
21,2,Australia,JR Hazlewood,6.5,0,45,0,6.58,22,6,0,(3w)
22,2,Australia,MG Johnson,8,0,36,2,4.50,35,4,0,(3w)
23,2,Australia,MR Marsh,9,0,33,5,3.66,33,2,1,
24,2,Australia,SR Watson,3,0,13,0,4.33,8,0,0,
25,2,Australia,GJ Maxwell,4,0,33,0,8.25,6,3,0,(1w)
26,2,Australia,SPD Smith,2,0,19,0,9.50,3,2,0,
27,3,Zimbabwe,T Panyangara,10,2,73,1,7.30,29,5,4,(3w)
28,3,Zimbabwe,TL Chatara,10,1,71,1,7.10,29,6,2,"(1nb, 3w)"
29,3,Zimbabwe,SF Mire,6,0,61,0,10.16,11,5,3,(2w)
30,3,Zimbabwe,E Chigumbura,4,0,30,1,7.50,12,1,2,"(1nb, 2w)"
31,3,Zimbabwe,SC Williams,8,0,44,0,5.50,19,0,2,(1w)
32,3,Zimbabwe,T Kamungozi,8,0,34,1,4.25,23,1,1,
33,3,Zimbabwe,Sikandar Raza,3,0,19,0,6.33,3,0,0,(1w)
34,3,Zimbabwe,H Masakadza,1,0,6,0,6.00,3,1,0,
35,3,South Africa,VD Philander,8,0,30,2,3.75,31,3,0,(3w)
36,3,South Africa,M Morkel,8.2,1,49,2,5.88,32,6,2,(2w)
37,3,South Africa,DW Steyn,9,0,64,1,7.11,28,9,2,
